airfoil,alpha,Cl,Cd
SC1094R8,-10.500000,-0.956800,0.022190
SC1094R8,-10.250000,-0.933000,0.021350
SC1094R8,-10.000000,-0.908900,0.020530
SC1094R8,-9.750000,-0.884200,0.019760
SC1094R8,-9.500000,-0.859600,0.018890
SC1094R8,-9.250000,-0.834600,0.018030
SC1094R8,-9.000000,-0.809200,0.017250
SC1094R8,-8.750000,-0.783600,0.016420
SC1094R8,-8.500000,-0.757700,0.015630
SC1094R8,-8.250000,-0.731600,0.014880
SC1094R8,-8.000000,-0.704600,0.014190
SC1094R8,-7.750000,-0.673700,0.013440
SC1094R8,-7.500000,-0.644300,0.012800
SC1094R8,-7.250000,-0.616200,0.012230
SC1094R8,-7.000000,-0.591300,0.011720
SC1094R8,-6.750000,-0.566300,0.011270
SC1094R8,-6.500000,-0.542200,0.010840
SC1094R8,-6.250000,-0.517400,0.010410
SC1094R8,-6.000000,-0.492200,0.010050
SC1094R8,-5.750000,-0.465400,0.009680
SC1094R8,-5.500000,-0.438200,0.009350
SC1094R8,-5.250000,-0.410900,0.009070
SC1094R8,-5.000000,-0.383100,0.008830
SC1094R8,-4.500000,-0.327600,0.008130
SC1094R8,-4.250000,-0.299500,0.007850
SC1094R8,-4.000000,-0.271000,0.007700
SC1094R8,-3.750000,-0.242600,0.007590
SC1094R8,-3.500000,-0.214100,0.007490
SC1094R8,-3.250000,-0.185500,0.007430
SC1094R8,-3.000000,-0.156800,0.007380
SC1094R8,-2.750000,-0.128000,0.007350
SC1094R8,-2.500000,-0.099200,0.007230
SC1094R8,-2.250000,-0.070500,0.007250
SC1094R8,-2.000000,-0.041700,0.007320
SC1094R8,-1.750000,-0.012900,0.007420
SC1094R8,-1.500000,0.015900,0.007470
SC1094R8,-1.250000,0.044700,0.007570
SC1094R8,-1.000000,0.073600,0.007640
SC1094R8,-0.750000,0.102500,0.007660
SC1094R8,-0.500000,0.131500,0.007710
SC1094R8,-0.250000,0.160400,0.007740
SC1094R8,-0.000000,0.189400,0.007710
SC1094R8,0.250000,0.218300,0.007660
SC1094R8,0.500000,0.247200,0.007610
SC1094R8,0.750000,0.276000,0.007470
SC1094R8,1.000000,0.304300,0.006680
SC1094R8,1.250000,0.332600,0.006400
SC1094R8,1.500000,0.360800,0.006280
SC1094R8,1.750000,0.388400,0.006220
SC1094R8,2.000000,0.415500,0.006250
SC1094R8,2.250000,0.441000,0.006280
SC1094R8,2.500000,0.464700,0.006380
SC1094R8,2.750000,0.489000,0.006430
SC1094R8,3.000000,0.514400,0.006510
SC1094R8,3.250000,0.545500,0.006600
SC1094R8,3.500000,0.577900,0.006740
SC1094R8,3.750000,0.608000,0.006860
SC1094R8,4.000000,0.637100,0.006980
SC1094R8,4.250000,0.665900,0.007150
SC1094R8,4.500000,0.694900,0.007280
SC1094R8,4.750000,0.723800,0.007400
SC1094R8,5.000000,0.752600,0.007540
SC1094R8,5.250000,0.781300,0.007720
SC1094R8,5.500000,0.809800,0.007910
SC1094R8,5.750000,0.838500,0.008020
SC1094R8,6.000000,0.867100,0.008150
SC1094R8,6.250000,0.895600,0.008300
SC1094R8,6.500000,0.923900,0.008460
SC1094R8,6.750000,0.952000,0.008650
SC1094R8,7.000000,0.980000,0.008860
SC1094R8,7.250000,1.007800,0.009090
SC1094R8,7.500000,1.035900,0.009240
